publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
67,4,1981,"Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma''s Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.",,,,,,,,Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma,,,,Studies in Oklahoma's Past,7,Oklahoma Archaeological Survey,,Norman,Oklahoma,USA,,,2013-09-30 14:02:54,2016-03-11 08:06:54
68,1,1980,"Anderson, T.W. 1980. Holocene vegetation and climatic history of Prince Edward Island, Canada. Canadian Journal of Earth Sciences 17(9):1152-1165. http://www.nrcresearchpress.com/doi/abs/10.1139/e80-122#.VuJ9EpwrKUk. [DOI: 0.1139/e80-122]","Holocene vegetation and climatic history of Prince Edward Island, Canada",Canadian Journal of Earth Sciences,17,9,1152-1165,,0.1139/e80-122,,,,,,,,http://www.nrcresearchpress.com/doi/abs/10.1139/e80-122#.VuJ9EpwrKUk,,,,,,2013-09-30 14:02:54,2016-03-11 08:09:51
69,1,1982,"McAndrews, J.H., J.L. Riley, and A.M. Davis. 1982. Vegetation history of the Hudson Bay Lowland: a postglacial pollen diagram from the Sutton Ridge. Naturaliste Canadien 109:597-608.",Vegetation history of the Hudson Bay Lowland: a postglacial pollen diagram from the Sutton Ridge,Naturaliste Canadien,109,,597-608,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2016-03-11 08:11:35
70,1,1971,"McDowell, L.L., R.M. Dole, Jr., M. Howard, Jr., and R.A. Farrington. 1971. Palynology and radiocarbon chronology of Bugbee Wildflower Sanctuary and Natural Area, Caledonia County, Vermont. Pollen et Spores 13:73-91.","Palynology and radiocarbon chronology of Bugbee Wildflower Sanctuary and Natural Area, Caledonia County, Vermont",Pollen et Spores,13,,73-91,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2016-03-11 08:14:29
71,1,1978,"Mott, R.J., and L.D. Farley-Gill. 1978. A late-Quaternary pollen profile from Woodstock, Ontario. Canadian Journal of Earth Sciences. Canadian Journal of Earth Sciences 15(7):1101-1111. http://www.nrcresearchpress.com/doi/abs/10.1139/e78-116#.VuJ-7JwrKUk. [DOI: 10.1139/e78-116]","A late-Quaternary pollen profile from Woodstock, Ontario. Canadian Journal of Earth Sciences",Canadian Journal of Earth Sciences,15,7,1101-1111,,10.1139/e78-116,,,,,,,,http://www.nrcresearchpress.com/doi/abs/10.1139/e78-116#.VuJ-7JwrKUk,,,,,,2013-09-30 14:02:54,2016-03-11 08:17:36
72,1,1991,"Beiswenger, J.M. 1991. Late Quaternary vegetational history of Grays Lake, Idaho. Ecological Monographs 61(2):165-182. [DOI: 10.2307/1943006]","Late Quaternary vegetational history of Grays Lake, Idaho",Ecological Monographs,61,2,165-182,,10.2307/1943006,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 18:11:25
73,3,1969,"Mott, R.J., and M. Camfield. 1969. Palynological studies in the Ottawa area. Paper 69-38. Geological Survey of Canada, Ottawa, Canada.",,,,,,,,Palynological studies in the Ottawa area,,,,Paper,69-38,Geological Survey of Canada,,Ottawa,,Canada,,,2013-09-30 14:02:54,2019-01-14 18:16:56
74,3,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",,,,,,,,Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences,,,,Paper,72-49,Geological Survey of Canada,,Ottawa,Ontario,Canada,,,2013-09-30 14:02:54,2015-08-03 23:22:58
75,1,1975,"Mott, R.J. 1975. Palynological studies of lake sediment profiles from southwestern New Brunswick. Canadian Journal of Earth Sciences 12(2):273-288. [DOI: 10.1139/e75-024]",Palynological studies of lake sediment profiles from southwestern New Brunswick,Canadian Journal of Earth Sciences,12,2,273-288,,10.1139/e75-024,,,,,,,,,,,,,,2013-09-30 14:02:54,2017-02-09 06:52:19
552,0,1948,"Antevs, E. 1948. Review of Patschke Bog. Journal of Geology 56:83-84.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
76,1,1966,"Ogden, J.G., III. 1966. Forest history of Ohio. I. Radiocarbon dates and pollen stratigraphy of Silver Lake, Logan County, Ohio. The Ohio Journal of Science 66(4):387-400.","Forest history of Ohio. I. Radiocarbon dates and pollen stratigraphy of Silver Lake, Logan County, Ohio",The Ohio Journal of Science,66,4,387-400,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 19:29:33
77,1,1975,"Ritchie, J.C., and K. Hadden. 1975. Pollen stratigraphy of the Holocene sediments from the Grand Rapids area, Manitoba, Canada. Review of Palaeobotany and Palynology 19(3):193-202. [DOI: 10.1016/0034-6667(75)90040-8]","Pollen stratigraphy of the Holocene sediments from the Grand Rapids area, Manitoba, Canada",Review of Palaeobotany and Palynology,19,3,193-202,,10.1016/0034-6667(75)90040-8,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-25 05:17:10
78,1,1964,"Ritchie, J.C. 1964. Contributions to the Holocene paleoecology of west central Canada. 1. The Riding Mountain area. Canadian Journal of Botany 42(2):181-196.",Contributions to the Holocene paleoecology of west central Canada. 1. The Riding Mountain area,Canadian Journal of Botany,42,2,181-196,10.1139/b64-018,,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 19:36:45
79,1,1969,"Ritchie, J.C. 1969. Absolute pollen frequencies and carbon-14 age of a section of Holocene lake sediment from the Riding Mountain area of Manitoba. Canadian Journal of Botany 47(9):1345-1349. [DOI: 10.1139/b69-192]",Absolute pollen frequencies and carbon-14 age of a section of Holocene lake sediment from the Riding Mountain area of Manitoba,Canadian Journal of Botany,47,9,1345-1349,,10.1139/b69-192,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 19:49:14
80,1,1975,"Saarnisto, M. 1975. Stratigraphical studies on the shoreline displacement of Lake Superior. Canadian Journal of Earth Sciences 12(2):300-319. [DOI: 10.1139/e75-026]",Stratigraphical studies on the shoreline displacement of Lake Superior,Canadian Journal of Earth Sciences,12,2,300-319,,10.1139/e75-026,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 19:53:34
81,1,1975,"Shane, L.C.K. 1975. Palynology and radiocarbon chronology of Battaglia Bog, Portage County, Ohio. The Ohio Journal of Science 75(2):96-102.","Palynology and radiocarbon chronology of Battaglia Bog, Portage County, Ohio",The Ohio Journal of Science,75,2,96-102,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 19:56:40
82,1,1976,"Spear, R.W., and N.G. Miller. 1976. A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State. Journal of the Arnold Arboretum 57(3):369-403.",A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State,Journal of the Arnold Arboretum,57,3,369-403,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 20:00:15
83,1,1978,"Swain, A.M. 1978. Environmental changes during the past 2000 years in north-central Wisconsin: analysis of pollen, charcoal, and seeds from varved lake sediments. Quaternary Research 10(1):55-68. [DOI: 10.1016/0033-5894(78)90013-3]","Environmental changes during the past 2000 years in north-central Wisconsin: analysis of pollen, charcoal, and seeds from varved lake sediments",Quaternary Research,10,1,55-68,,10.1016/0033-5894(78)90013-3,,,,,,,,,,,,,,2013-09-30 14:02:54,2016-11-05 04:37:34
84,1,1970,"Terasmae, J., and T.W. Anderson. 1970. Hypsithermal range extension of white pine (Pinus strobus L.) in Quebec, Canada. Canadian Journal of Earth Sciences 7(2):406-413. [DOI: 10.1139/e70-035]","Hypsithermal range extension of white pine (Pinus strobus L.) in Quebec, Canada",Canadian Journal of Earth Sciences,7,2,406-413,,10.1139/e70-035,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:11:49
85,1,1979,"Van Zant, K.L. 1979. Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, northwestern Iowa. Quaternary Research 12(3):358-380. [DOI: 10.1016/0033-5894(79)90034-6]","Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, northwestern Iowa",Quaternary Research,12,3,358-380,,10.1016/0033-5894(79)90034-6,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:17:54
86,1,1973,"Vincent, J.-S. 1973. A palynological study for the Little Clay Belt, northwestern Québec. Naturaliste Canadien 100:59-70.","A palynological study for the Little Clay Belt, northwestern Québec",Naturaliste Canadien,100,,59-70,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:24:00
87,1,1969,"Watts, W.A. 1969. A pollen diagram from Mud Lake, Marion County, north-central Florida. Geological Society of America Bulletin 80(4):631-642. [DOI: 10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2]","A pollen diagram from Mud Lake, Marion County, north-central Florida",Geological Society of America Bulletin,80,4,631-642,,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:26:19
88,1,1970,"Watts, W.A. 1970. The full-glacial vegetation of northwestern Georgia. Ecology 51(1):17-33. [DOI: 10.2307/1933597]",The full-glacial vegetation of northwestern Georgia,Ecology,51,1,17-33,,10.2307/1933597,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:28:06
89,1,1974,"Webb, T., III. 1974. A vegetational history from northern Wisconsin: evidence from modern and fossil pollen. American Midland Naturalist 92(1):12-34. [DOI: 10.2307/2424199]",A vegetational history from northern Wisconsin: evidence from modern and fossil pollen,American Midland Naturalist,92,1,12-34,,10.2307/2424199,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:30:47
90,1,1972,"Whitehead, D.R. 1972. Developmental and environmental history of the Dismal Swamp. Ecological Monographs 42(3):301-315. [DOI: 10.2307/1942212]",Developmental and environmental history of the Dismal Swamp,Ecological Monographs,42,3,301-315,,10.2307/1942212,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:35:42
91,1,1981,"Whitehead, D.R. 1981. Late-Pleistocene vegetational changes in northeastern North Carolina. Ecological Monographs 51(4):451-471. [DOI: 10.2307/2937324]",Late-Pleistocene vegetational changes in northeastern North Carolina,Ecological Monographs,51,4,451-471,,10.2307/2937324,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:38:32
92,3,1974,"Williams, A.S. 1974. Late-glacial—postglacial vegetational history of the Pretty Lake region, northeastern Indiana. U.S. Geological Survey Professional Paper 686-B. U. S. Government Printing Office, Washington DC, USA.",,,,,,,,"Late-glacial—postglacial vegetational history of the Pretty Lake region, northeastern Indiana",,,,U.S. Geological Survey Professional Paper,686-B,U. S. Government Printing Office,,Washington DC,,USA,,,2013-09-30 14:02:54,2014-04-16 23:18:10
93,1,1963,"Wright, H.E., Jr., T.C. Winter, and H.L. Patten. 1963. Two pollen diagrams from southeastern Minnesota: problems in the regional late-glacial and postglacial vegetational history. Geological Society of America Bulletin 74(11):1371-1396. [DOI: 10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2]",Two pollen diagrams from southeastern Minnesota: problems in the regional late-glacial and postglacial vegetational history,Geological Society of America Bulletin,74,11,1371-1396,,10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-01-12 19:58:06
94,3,1969,"Wright, H.E., Jr., and W.A. Watts. 1969. Glacial and vegetational history of northeastern Minnesota. Special Publications Series 11. Minnesota Geological Survey, University of Minnesota, Minneapolis, Minnesota, USA.",,,,,,,,Glacial and vegetational history of northeastern Minnesota,,,,Special Publications Series,11,"Minnesota Geological Survey, University of Minnesota",,Minneapolis,Minnesota,USA,,,2013-09-30 14:02:54,2017-12-18 20:29:14
178,0,1991,"Kellogg, D.C. 1991. Prehistoric landscapes, paleoenvironments, and archaeology of Western Muscongus Bay, Maine. Dissertation. University of Maine, Orono, Maine, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3878,0,1891,"Cleve, P.T. 1891. Diatomées rares ou nouvelles. Le Diatomiste 1: 75-78.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
95,1,1984,"Labelle, C., and P.J.H. Richard. 1984. Histoire postglaciaire de la végétation dans la région de Mont-Saint-Pierre, Gaspésie, Quebec. Géographie physique et Quaternaire 38(3):257-274. [DOI: 10.7202/032567ar]","Histoire postglaciaire de la végétation dans la région de Mont-Saint-Pierre, Gaspésie, Quebec",Géographie physique et Quaternaire,38,3,257-274,,10.7202/032567ar,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-01-14 21:42:04
98,0,1976,"Mott, R.J. 1976. A Holocene pollen profile from the Sept-Iles area, Québec. Naturaliste Canadien 103:457-467.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
99,1,1977,"Mott, R.J. 1977. Late-Pleistocene and Holocene palynology in southeastern Québec. Géographie physique et Quaternaire 31(1-2):139-149. [DOI: 10.7202/1000060ar]",Late-Pleistocene and Holocene palynology in southeastern Québec,Géographie physique et Quaternaire,31,1-2,139-149,,10.7202/1000060ar,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-24 05:22:48
100,1,1979,"Richard, P.J.H. 1979. Contribution à l''histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33(1):93-112. [DOI: 10.7202/1000324ar]","Contribution à l''histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec",Géographie physique et Quaternaire,33,1,93-112,,10.7202/1000324ar,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-25 05:03:05
101,0,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
102,0,1979,"Savoie, L., and P.J.H. Richard. 1979. Paléophytogéographie de l''épisode de Saint-Narcisse dans la région de Sainte-Agathe, Québec. Géographie physique et Quaternaire 33:175-188.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
103,1,1975,"Watts, W.A. 1975. A late Quaternary record of vegetation from Lake Annie, south-central Florida. Geology 3(6):344-346. [DOI: 10.1130/0091-7613(1975)3<344:ALQROV>2.0.CO;2]","A late Quaternary record of vegetation from Lake Annie, south-central Florida",Geology,3,6,344-346,,10.1130/0091-7613(1975)3<344:ALQROV>2.0.CO;2,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-05-01 03:24:44
105,1,1978,"Whitehead, D.R., and T.L. Crisman. 1978. Paleolimnological studies of small New England (U.S.A.) ponds. Part I. Late-glacial and postglacial trophic oscillations. Polskie Archiwum Hydrobiologii 25:471-481.",Paleolimnological studies of small New England (U.S.A.) ponds. Part I. Late-glacial and postglacial trophic oscillations,Polskie Archiwum Hydrobiologii,25,,471-481,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-08-26 16:04:36
106,0,1983,"Delcourt, H.R., P.A. Delcourt, and E.C. Spiker. 1983. A 12,000-year record of forest history from Cahaba Pond, St. Clair County, Alabama. Ecology 64:874-887.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
107,0,1972,"Maxwell, J.A., and M.B. Davis. 1972. Pollen evidence of Pleistocene and Holocene vegetation on the Allegheny Plateau, Maryland. Quaternary Research 2:506-530.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
108,1,1974,"Saarnisto, M. 1974. The deglaciation history of the Lake Superior region and its climatic implications. Quaternary Research 4(3):316-339. [DOI: 10.1016/0033-5894(74)90019-2]",The deglaciation history of the Lake Superior region and its climatic implications,Quaternary Research,4,3,316-339,,10.1016/0033-5894(74)90019-2,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-25 16:39:32
109,0,1967,"Ogden, J.G., III, and R.J. Hay. 1967. Ohio Wesleyan University natural radiocarbon measurements III. Radiocarbon 9:316-332..",Ohio Wesleyan University natural radiocarbon measurements III. Radiocarbon 9:316-332.,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2015-06-04 23:19:10
110,0,1983,"Webb, S.L. 1983. The Holocene extension of the range of American Beech (Fagus grandifolia) into Wisconsin: paleoecological evidence for long-distance seed dispersal. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
111,0,1957,"Barclay, F.H. 1957. The natural vegetation of Johnson County, Tennessee past and present. Dissertation. University of Tennessee, Knoxville, Tennessee, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
112,0,1981,"Radle, N.J. 1981. Vegetation history and lake-level changes at a saline lake in northeastern South Dakota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
113,0,1975,"Lawrenz, R.W. 1975. The developmental paleoecology of Green Lake Antrim County, Michigan. Thesis. Central Michigan University, Mount Pleasant, Michigan, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
114,0,1978,"Bostwick, L.G. 1978. An environmental framework for cultural change in Maine: pollen influx and percentage diagrams from Monhegan Island. Thesis. University of Maine, Orono, Maine, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
115,5,1979,"Anderson, R.S. 1979. A Holocene record of vegetation and fire at Upper South Branch Pond in northern Maine. Master''s thesis. University of Maine, Orono, Maine, USA.",A Holocene record of vegetation and fire at Upper South Branch Pond in northern Maine,,,,,,,,,,,,,University of Maine,,Orono,Maine,USA,,,2013-09-30 14:02:54,2019-04-19 16:27:46
116,1,1971,"Watts, W.A. 1971. Postglacial and interglacial vegetation history of southern Georgia and central Florida. Ecology 52(4):676-690. [DOI: 10.2307/1934159]",Postglacial and interglacial vegetation history of southern Georgia and central Florida,Ecology,52,4,676-690,,10.2307/1934159,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-30 18:10:57
